FVC file = csiem_100_A_20130101_20130601_WQ_009.fvc, Simulation Execution: 04/05/2023 10:24:39
Cell Coordinates and properties applied to model,X,Y,ZB,MATID,Area,ID
, 0.11583828255475E+03,-0.31968852015924E+02, -0.2913800E+01,          16,  0.3324414E+05,          22
, 0.11583918904008E+03,-0.31970250588249E+02, -0.2597573E+01,          16,  0.3177946E+05,          23
, 0.11584124701646E+03,-0.31971748659145E+02, -0.1887544E+01,          16,  0.3555252E+05,          24
, 0.11584301941827E+03,-0.31972048808445E+02, -0.2130656E+01,          16,  0.3344523E+05,          25
, 0.11583959104134E+03,-0.31972086340531E+02, -0.1669481E+01,          16,  0.3667172E+05,          26
, 0.11584479609435E+03,-0.31972256186760E+02, -0.1983695E+01,          16,  0.3142898E+05,          27
, 0.11584640164345E+03,-0.31971934993783E+02, -0.1736279E+01,          16,  0.3159388E+05,          28
, 0.11583667815199E+03,-0.31970011214529E+02, -0.2948160E+01,          16,  0.3454349E+05,          29
, 0.11583764219339E+03,-0.31971365800131E+02, -0.3032940E+01,          16,  0.3462543E+05,          30
, 0.11583795325281E+03,-0.31973177539329E+02, -0.2252215E+01,          16,  0.3419830E+05,          31
, 0.11584109771844E+03,-0.31973778720969E+02, -0.2037638E+01,          16,  0.3844957E+05,          32
, 0.11584226577856E+03,-0.31974172712058E+02, -0.2316720E+01,          16,  0.1608556E+05,          33
, 0.11584355537154E+03,-0.31973810436493E+02, -0.2241243E+01,          16,  0.2956832E+05,          34
, 0.11583980744509E+03,-0.31973621712248E+02, -0.1803313E+01,          16,  0.1630875E+05,          35
, 0.11584523316646E+03,-0.31974052069493E+02, -0.1672401E+01,          16,  0.3160985E+05,          36
, 0.11583866625519E+03,-0.31974599141211E+02, -0.2360833E+01,          16,  0.2849058E+05,          37
, 0.11584683443594E+03,-0.31973706159007E+02, -0.1033745E+01,          16,  0.3161010E+05,          38
, 0.11583498157804E+03,-0.31971127781510E+02, -0.2516296E+01,          16,  0.3928271E+05,          39
, 0.11583600624692E+03,-0.31972498383864E+02, -0.3476414E+01,          16,  0.3529919E+05,          40
, 0.11583665377639E+03,-0.31973789178886E+02, -0.3194716E+01,          16,  0.1504535E+05,          41
, 0.11583616311058E+03,-0.31974751979250E+02, -0.3508924E+01,          16,  0.1528570E+05,          42
, 0.11583711923398E+03,-0.31975711084514E+02, -0.3021156E+01,          16,  0.3423734E+05,          43
, 0.11584061543182E+03,-0.31975979462038E+02, -0.2128547E+01,          16,  0.3745579E+05,          44
, 0.11584225314317E+03,-0.31975767778154E+02, -0.1990585E+01,          16,  0.3327752E+05,          45
, 0.11583938311083E+03,-0.31975675078140E+02, -0.2386208E+01,          16,  0.1269189E+05,          46
, 0.11584390556405E+03,-0.31975622290969E+02, -0.1724987E+01,          16,  0.3012192E+05,          47
, 0.11584553614597E+03,-0.31975881145739E+02, -0.1132256E+01,          16,  0.3090465E+05,          48
, 0.11584710533764E+03,-0.31975505748998E+02, -0.5340623E+00,          16,  0.3061639E+05,          49
, 0.11583832901948E+03,-0.31976848215855E+02, -0.2457700E+01,          16,  0.3394202E+05,          50
, 0.11583314818496E+03,-0.31972141791558E+02, -0.2598531E+01,          16,  0.3746769E+05,          51
, 0.11583430110068E+03,-0.31973452430335E+02, -0.4035601E+01,          16,  0.3606138E+05,          52
, 0.11583473400155E+03,-0.31975141685016E+02, -0.4244520E+01,          16,  0.3284073E+05,          53
, 0.11583484577712E+03,-0.31976584612490E+02, -0.3808237E+01,          16,  0.1693788E+05,          54
, 0.11583595444387E+03,-0.31976717679533E+02, -0.3143469E+01,          16,  0.1820078E+05,          55
, 0.11583667526435E+03,-0.31977886557183E+02, -0.2343375E+01,          16,  0.3364968E+05,          56
, 0.11584037677696E+03,-0.31977429813080E+02, -0.2008023E+01,          16,  0.1638821E+05,          57
, 0.11584102498335E+03,-0.31978590649075E+02, -0.1381514E+01,          16,  0.3255759E+05,          58
, 0.11584253854629E+03,-0.31977622668460E+02, -0.1238663E+01,          16,  0.3192425E+05,          59
, 0.11583921044442E+03,-0.31977783546141E+02, -0.2153002E+01,          16,  0.1614245E+05,          60
, 0.11584414305822E+03,-0.31977413620736E+02, -0.8528156E+00,          16,  0.3130655E+05,          61
, 0.11584579367566E+03,-0.31977715701859E+02, -0.4015425E+00,          16,  0.3041663E+05,          62
, 0.11584730559821E+03,-0.31977306687013E+02, -0.2018580E+00,          16,  0.2920554E+05,          63
, 0.11583726800605E+03,-0.31979454534705E+02, -0.1461278E+01,          16,  0.3297891E+05,          64
, 0.11583918339833E+03,-0.31979139806490E+02, -0.1637253E+01,          16,  0.3569323E+05,          65
, 0.11583173111125E+03,-0.31973000746146E+02, -0.3410802E+01,          16,  0.1714465E+05,          66
, 0.11583242391710E+03,-0.31974208305095E+02, -0.4586893E+01,          16,  0.3569676E+05,          67
, 0.11583062611016E+03,-0.31972715113153E+02, -0.2015305E+01,          16,  0.1919996E+05,          68
, 0.11583295681627E+03,-0.31975827154427E+02, -0.4852786E+01,          16,  0.3503548E+05,          69
, 0.11583356006088E+03,-0.31977390907840E+02, -0.4390773E+01,          16,  0.3418695E+05,          70
, 0.11583488624386E+03,-0.31978646607584E+02, -0.3037811E+01,          16,  0.3345194E+05,          71
, 0.11583556493296E+03,-0.31980163204889E+02, -0.1739197E+01,          16,  0.3210933E+05,          72
, 0.11584155810988E+03,-0.31979840145695E+02, -0.7490835E+00,          16,  0.1447792E+05,          73
, 0.11584289452862E+03,-0.31979468111163E+02, -0.5531096E+00,          16,  0.3197540E+05,          74
, 0.11583933744305E+03,-0.31980332046759E+02, -0.1194999E+01,          16,  0.1413149E+05,          75
, 0.11584075202655E+03,-0.31980863868811E+02, -0.7252037E+00,          16,  0.2848109E+05,          76
, 0.11584447795555E+03,-0.31979310506078E+02, -0.3027027E+00,          16,  0.3343867E+05,          77
, 0.11584617776793E+03,-0.31979527461394E+02, -0.3402979E-01,          16,  0.3000230E+05,          78
