FVC file = csiem_100_A_20130101_20130601_WQ_009.fvc, Simulation Execution: 04/05/2023 10:24:39
Nodestring coordinates,X,Y,ZB,Chain,Length,LeftCellID,RightCellID,NSID,ID
, 0.11534348979027E+03,-0.31931590211423E+02, -0.9999900E+05,  0.4661109E+05,  0.1431169E+06,       11903,           0,1,           1
, 0.11534027679036E+03,-0.31954645210781E+02, -0.9999900E+05,  0.4919255E+05,  0.1431169E+06,       11905,           0,1,           1
, 0.11533802479043E+03,-0.31977813010136E+02, -0.9999900E+05,  0.5177744E+05,  0.1431169E+06,       12143,           0,1,           1
, 0.11533658279047E+03,-0.32001045909490E+02, -0.9999900E+05,  0.5436440E+05,  0.1431169E+06,       12383,           0,1,           1
, 0.11533574679049E+03,-0.32024310108842E+02, -0.9999900E+05,  0.5695247E+05,  0.1431169E+06,       12596,           0,1,           1
, 0.11533522479050E+03,-0.32047585308195E+02, -0.9999900E+05,  0.5954102E+05,  0.1431169E+06,       12803,           0,1,           1
, 0.11533475379052E+03,-0.32070861507547E+02, -0.9999900E+05,  0.6212960E+05,  0.1431169E+06,       12805,           0,1,           1
, 0.11533420279053E+03,-0.32094136006899E+02, -0.9999900E+05,  0.6471813E+05,  0.1431169E+06,       13021,           0,1,           1
, 0.11533352379055E+03,-0.32117407106252E+02, -0.9999900E+05,  0.6730655E+05,  0.1431169E+06,       13022,           0,1,           1
, 0.11533269279058E+03,-0.32140673305604E+02, -0.9999900E+05,  0.6989483E+05,  0.1431169E+06,       13023,           0,1,           1
, 0.11533165479060E+03,-0.32163931204957E+02, -0.9999900E+05,  0.7248284E+05,  0.1431169E+06,       13051,           0,1,           1
, 0.11533053079064E+03,-0.32187185104310E+02, -0.9999900E+05,  0.7507072E+05,  0.1431169E+06,       13247,           0,1,           1
, 0.11532935679067E+03,-0.32210436603663E+02, -0.9999900E+05,  0.7765853E+05,  0.1431169E+06,       13465,           0,1,           1
, 0.11532816979070E+03,-0.32233687303016E+02, -0.9999900E+05,  0.8024630E+05,  0.1431169E+06,       13695,           0,1,           1
, 0.11532702079073E+03,-0.32256940002369E+02, -0.9999900E+05,  0.8283415E+05,  0.1431169E+06,       13926,           0,1,           1
, 0.11532597179076E+03,-0.32280197301722E+02, -0.9999900E+05,  0.8542212E+05,  0.1431169E+06,       14170,           0,1,           1
, 0.11532506779079E+03,-0.32303460701074E+02, -0.9999900E+05,  0.8801030E+05,  0.1431169E+06,       14421,           0,1,           1
, 0.11532433479081E+03,-0.32326730000427E+02, -0.9999900E+05,  0.9059864E+05,  0.1431169E+06,       14665,           0,1,           1
, 0.11532379579082E+03,-0.32350004699779E+02, -0.9999900E+05,  0.9318716E+05,  0.1431169E+06,       14924,           0,1,           1
, 0.11532347279083E+03,-0.32373283599131E+02, -0.9999900E+05,  0.9577584E+05,  0.1431169E+06,       15180,           0,1,           1
, 0.11532355679083E+03,-0.32396564498483E+02, -0.9999900E+05,  0.9836458E+05,  0.1431169E+06,       15460,           0,1,           1
, 0.11532474779080E+03,-0.32419811597837E+02, -0.9999900E+05,  0.1009520E+06,  0.1431169E+06,       15750,           0,1,           1
